"Package","Version"
"abind","1.4-8"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.0.1"
"backports","1.5.0"
"base","4.4.3"
"base64enc","0.1-3"
"BH","1.87.0-1"
"Biobase","2.66.0"
"BiocGenerics","0.52.0"
"BiocManager","1.30.26"
"BiocNeighbors","2.0.1"
"BiocVersion","3.20.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.9"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caTools","1.18.3"
"CellChat","2.2.0"
"circlize","0.4.16"
"cli","3.6.5"
"clipr","0.8.0"
"clue","0.3-66"
"cluster","2.1.8.1"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-1"
"commonmark","2.0.0"
"compiler","4.4.3"
"ComplexHeatmap","2.25.2"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.2"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.17.8"
"datasets","4.4.3"
"deldir","2.0-4"
"Deriv","4.2.0"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.6"
"digest","0.6.37"
"doBy","4.7.0"
"doParallel","1.0.17"
"dotCall64","1.2"
"downlit","0.4.4"
"dplyr","1.1.4"
"dqrng","0.4.1"
"ellipsis","0.3.2"
"evaluate","1.0.5"
"fansi","1.0.6"
"farver","2.1.2"
"fastDummies","1.7.5"
"fastmap","1.2.0"
"fitdistrplus","1.2-4"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"foreach","1.5.2"
"Formula","1.2-5"
"fs","1.6.6"
"future","1.67.0"
"future.apply","1.20.0"
"generics","0.1.4"
"gert","2.1.5"
"GetoptLong","1.0.5"
"ggalluvial","0.12.5"
"ggnetwork","0.5.13"
"ggplot2","3.5.2"
"ggpubr","0.6.1"
"ggrepel","0.9.6"
"ggridges","0.5.7"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"gh","1.5.0"
"gitcreds","0.1.2"
"GlobalOptions","0.1.2"
"globals","0.18.0"
"glue","1.8.0"
"goftest","1.2-3"
"gplots","3.2.0"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"gridBase","0.4-7"
"gridExtra","2.3"
"gtable","0.3.6"
"gtools","3.9.5"
"hdf5r","1.3.12"
"here","1.0.1"
"highr","0.11"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.2.1"
"ica","1.0-3"
"igraph","2.1.4"
"ini","0.3.1"
"IRanges","2.40.1"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.50"
"labeling","0.4.3"
"later","1.4.4"
"lattice","0.22-7"
"lazyeval","0.2.2"
"leiden","0.4.3.1"
"leidenbase","0.1.32"
"lifecycle","1.0.4"
"listenv","0.9.1"
"lme4","1.1-37"
"lmtest","0.9-40"
"magrittr","2.0.3"
"MASS","7.3-65"
"Matrix","1.7-4"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"methods","4.4.3"
"mgcv","1.9-3"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"modelr","0.1.11"
"munsell","0.5.1"
"network","1.19.0"
"nlme","3.1-168"
"nloptr","2.2.1"
"NMF","0.28"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.3.3"
"parallel","4.4.3"
"parallelly","1.45.1"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbkrtest","0.5.5"
"pillar","1.11.0"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.3"
"pkgload","1.4.0"
"plotly","4.11.0"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-7"
"polynom","1.4-1"
"praise","1.0.0"
"presto","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.6"
"profvis","0.4.0"
"progressr","0.15.1"
"promises","1.3.3"
"ps","1.9.1"
"purrr","1.1.0"
"quantreg","6.1"
"R6","2.6.1"
"ragg","1.5.0"
"RANN","2.6.2"
"rappdirs","0.3.3"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.0"
"RcppAnnoy","0.0.22"
"RcppArmadillo","15.0.1-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"Rdpack","2.6.4"
"reformulas","0.4.1"
"registry","0.5-1"
"rematch2","2.1.2"
"remotes","2.5.0"
"reshape2","1.4.4"
"reticulate","1.43.0"
"rjson","0.2.23"
"rlang","1.1.6"
"rmarkdown","2.29"
"rngtools","1.5.2"
"ROCR","1.0-11"
"roxygen2","7.3.3"
"rprojroot","2.1.1"
"RSpectra","0.16-2"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"Rtsne","0.17"
"rversions","2.1.2"
"S4Vectors","0.44.0"
"sass","0.4.10"
"scales","1.4.0"
"scattermore","1.2"
"scMayoMap","0.2.0"
"sctransform","0.4.2"
"sessioninfo","1.2.3"
"Seurat","5.3.0"
"SeuratObject","5.2.0"
"shape","1.4.6.1"
"shiny","1.11.1"
"sitmo","2.0.2"
"sna","2.8"
"sourcetools","0.1.7-1"
"sp","2.2-0"
"spam","2.11-1"
"SparseM","1.84-2"
"spatstat.data","3.1-8"
"spatstat.explore","3.5-2"
"spatstat.geom","3.5-0"
"spatstat.random","3.4-1"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-4"
"spatstat.utils","3.1-5"
"splines","4.4.3"
"statnet.common","4.12.0"
"stats","4.4.3"
"stats4","4.4.3"
"stringi","1.8.7"
"stringr","1.5.1"
"survival","3.8-3"
"svglite","2.2.1"
"sys","3.4.3"
"systemfonts","1.2.3"
"tcltk","4.4.3"
"tensor","1.5.1"
"testthat","3.2.3"
"textshaping","1.0.3"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tinytex","0.57"
"tools","4.4.3"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.4.3"
"uwot","0.2.3"
"vctrs","0.6.5"
"viridisLite","0.4.2"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.53"
"xml2","1.4.0"
"xopen","1.0.1"
"xtable","1.8-4"
"yaml","2.3.10"
"zip","2.3.3"
"zoo","1.8-14"
